word	pronunciation
աբխազական	ɑ p ʰ χ ɑ z ɑ ˈ k ɑ n
Աբխազական Ինքնավար Սովետական Սոցիալիստական Հանրապետություն	ɑ p ʰ χ ɑ z ɑ ˈ k ɑ n   i n k ʰ n ɑ ˈ v ɑ ɾ   s o v e t ɑ ˈ k ɑ n   s o t ͡ s ʰ i ɑ l i s t ɑ ˈ k ɑ n   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
աբխազերեն	ɑ p ʰ χ ɑ z e ˈ ɾ e n
աբխազը	ɑ p ʰ ˈ χ ɑ z ə
աբխազի	ɑ p ʰ χ ɑ ˈ z i
Աբխազիա	ɑ p ʰ ˈ χ ɑ z i ɑ
Աբխազիայի Հանրապետություն	ɑ p ʰ χ ɑ z i ɑ ˈ j i   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
աբխազին	ɑ p ʰ χ ɑ ˈ z i n
աբխազից	ɑ p ʰ χ ɑ ˈ z i t ͡ s ʰ
աբխազն	ɑ p ʰ ˈ χ ɑ z n
աբխազներ	ɑ p ʰ χ ɑ z ˈ n e ɾ
աբխազները	ɑ p ʰ χ ɑ z ˈ n e ɾ ə
աբխազների	ɑ p ʰ χ ɑ z n e ˈ ɾ i
աբխազներին	ɑ p ʰ χ ɑ z n e ˈ ɾ i n
աբխազներից	ɑ p ʰ χ ɑ z n e ˈ ɾ i t ͡ s ʰ
աբխազներն	ɑ p ʰ χ ɑ z ˈ n e ɾ n
աբխազներով	ɑ p ʰ χ ɑ z n e ˈ ɾ o v
աբխազով	ɑ p ʰ χ ɑ ˈ z o v
Աբո	ˈ ɑ b o
աբոլիցիոնիզմ	ɑ b o l i t ͡ s ʰ i o ˈ n i z m
աբոյ	ɑ ˈ b o j
աբոնեմենտ	ɑ b o n e ˈ m e n t
աբոնեմենտային	ɑ b o n e m e n t ɑ ˈ j i n
աբոնենտ	ɑ b o ˈ n e n t
Աբովյան	ɑ b o ˈ v j ɑ n
աբորտ	ɑ ˈ b o ɾ t
աբսոլյուտ	ɑ p ʰ s o ˈ l j u t
աբսոլյուտիզմ	ɑ b s o l j u ˈ t i z m
աբսորբել	ɑ p ʰ s o ɾ ˈ b e l
աբստրակտ	ɑ p ʰ s t ˈ ɾ ɑ k t
աբստրակցիա	ɑ p ʰ s t ɾ ɑ k t ͡ s ʰ i ˈ ɑ
աբստրահել	ɑ p ʰ s t ɾ ɑ ˈ h e l
աբստրահվել	ɑ p ʰ s t ɾ ɑ h ˈ v e l
աբստրահում	ɑ p ʰ s t ɾ ɑ ˈ h u m
աբսուրդ	ɑ p ʰ ˈ s u ɾ d
աբրա	ɑ b ˈ ɾ ɑ
Աբրահամ	ɑ b ɾ ɑ ˈ h ɑ m
Աբրահամյան	ɑ b ɾ ɑ h ɑ ˈ m j ɑ n
Աբրամ	ɑ b ˈ ɾ ɑ m
աբրեշում	ɑ b ɾ e ˈ ʃ u m
աբրեշումե	ɑ b ɾ e ʃ u ˈ m e
Աբրուցյան Ապենիններ	ɑ b ɾ u ˈ t ͡ s ʰ j ɑ n   ɑ p e n i n ˈ n e ɾ
Աբրուցցո	ɑ b ˈ ɾ u t ͡ s ʰ t ͡ s ʰ o
Աբու Դաբի	ɑ ˈ b u   ˈ d ɑ b i
Աբու Զաբի	ɑ ˈ b u   ˈ z ɑ b i
Աբուջա	ɑ ˈ b u d ͡ ʒ ɑ
աբուռ	ɑ ˈ b u r
Աբքայք	ɑ b ˈ k ʰ ɑ j k ʰ
Ագա	ɑ ˈ ɡ ɑ
ագաթ	ɑ ˈ ɡ ɑ t ʰ
ագահ	ɑ ˈ ɡ ɑ h
ագահ-ագահ	ɑ ˈ ɡ ɑ h   ɑ ˈ ɡ ɑ h
ագահաբար	ɑ ɡ ɑ h ɑ ˈ b ɑ ɾ
ագահանալ	ɑ ɡ ɑ h ɑ ˈ n ɑ l
ագահել	ɑ ɡ ɑ ˈ h e l
ագահորեն	ɑ ɡ ɑ h o ˈ ɾ e n
ագահություն	ɑ ɡ ɑ h u ˈ t ʰ j u n
Ագամեմնոն	ɑ ɡ ɑ m e m ˈ n o n
Ագանյա	ɑ ˈ ɡ ɑ n j ɑ
Ագապի	ɑ ɡ ɑ ˈ p i
ագատ	ɑ ˈ ɡ ɑ t
Ագարակ	ɑ ɡ ɑ ˈ ɾ ɑ k
ագարակ	ɑ ɡ ɑ ˈ ɾ ɑ k
ագարականալ	ɑ ɡ ɑ ɾ ɑ k ɑ ˈ n ɑ l
ագարակացնել	ɑ ɡ ɑ ɾ ɑ k ɑ t ͡ s ʰ ˈ n e l
Ագարտալա	ɑ ɡ ɑ ɾ t ɑ ˈ l ɑ
ագեվազ	ɑ ɡ e ˈ v ɑ z
ագի	ɑ ˈ ɡ i
-ագին	ɑ ˈ ɡ i n
Ագինսկոյե	ɑ ˈ ɡ i n s k o j e
ԱԳՆ	ɑ ɡ ə ˈ n ə
ագնոստիկ	ɑ ɡ n o s ˈ t i k
ագնոստիցիզմ	ɑ ɡ n o s t i ˈ t ͡ s ʰ i z m
ագոն	ɑ ˈ ɡ o n
ագռավ	ɑ ɡ ˈ r ɑ v
ագռավանալ	ɑ ɡ r ɑ v ɑ ˈ n ɑ l
ագրարային	ɑ ɡ ɾ ɑ ɾ ɑ ˈ j i n
ագրեգատային վիճակ	ɑ ɡ ɾ e ɡ ɑ t ɑ ˈ j i n   v i ˈ t ͡ ʃ ɑ k
ագրեգատավորել	ɑ ɡ ɾ e ɡ ɑ t ɑ v o ˈ ɾ e l
ագրեսիա	ɑ ɡ ˈ ɾ e s i ɑ
ագրեսիաները	ɑ ɡ ɾ e s i ɑ ˈ n e ɾ ə
ագրեսիաներից	ɑ ɡ ɾ e s i ɑ n e ˈ ɾ i t ͡ s ʰ
ագրեսիվ	ɑ ɡ ɾ e ˈ s i v
Ագրիպպաս	ɑ ɡ ɾ i p ˈ p ɑ s
-ագույն	ɑ ˈ ɡ u j n
ագույց	ɑ ˈ ɡ u j t ͡ s ʰ
ագուռ	ɑ ˈ ɡ u r
ագուցահանել	ɑ ɡ u t ͡ s ʰ ɑ h ɑ ˈ n e l
ագուցանել	ɑ ɡ u t ͡ s ʰ ɑ ˈ n e l
ագուցավորել	ɑ ɡ u t ͡ s ʰ ɑ v o ˈ ɾ e l
ագուցել	ɑ ɡ u ˈ t ͡ s ʰ e l
ագուցվել	ɑ ɡ u t ͡ s ʰ ˈ v e l
Ադամ	ɑ ˈ d ɑ m
ադամաթուզ	ɑ d ɑ m ɑ ˈ t ʰ u z
ադամանդ	ɑ d ɑ ˈ m ɑ n d
ադամանդագործ	ɑ d ɑ m ɑ n d ɑ ˈ ɡ o ɾ t ͡ s
ադամանդագործական	ɑ d ɑ m ɑ n d ɑ ɡ o ɾ t ͡ s ɑ ˈ k ɑ n
ադամանդագործություն	ɑ d ɑ m ɑ n d ɑ ɡ o ɾ t ͡ s u ˈ t ʰ j u n
ադամանդել	ɑ d ɑ m ɑ n ˈ d e l
ադամանդվել	ɑ d ɑ m ɑ n d ˈ v e l
Ադամյան	ɑ d ɑ ˈ m j ɑ n
Ադանա	ɑ d ɑ ˈ n ɑ
ադի-բուդի	ɑ ˈ d i   b u ˈ d i
Ադիս Աբեբա	ɑ ˈ d i s   ɑ b e ˈ b ɑ
Ադլեր	ˈ ɑ d l e ɾ
Ադոնց	ɑ ˈ d o n t ͡ s ʰ
Ադրբեջան	ɑ d ə ɾ b e ˈ d ͡ ʒ ɑ n
ադրբեջանական	ɑ d ə ɾ b e d ͡ ʒ ɑ n ɑ ˈ k ɑ n
Ադրբեջանական Հանրապետություն	ɑ d ə ɾ b e d ͡ ʒ ɑ n ɑ ˈ k ɑ n   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
ադրբեջաներեն	ɑ d ə ɾ b e d ͡ ʒ ɑ n e ˈ ɾ e n
ադրբեջանցի	ɑ d ə ɾ b e d ͡ ʒ ɑ n ˈ t ͡ s ʰ i
Ադրիական ծով	ɑ d ɾ i ɑ ˈ k ɑ n   t ͡ s o v
Ադրիանապոլիս	ɑ d ɾ i j ɑ n ɑ p o ˈ l i s
Ադրիանոս	ɑ d ɾ i ( j ) ɑ ˈ n o s
Ադրիատիկ ծով	ɑ d ɾ i ɑ ˈ t i k   t ͡ s o v
ազաբ	ɑ ˈ z ɑ b
ազաբանալ	ɑ z ɑ b ɑ ˈ n ɑ l
ազաբացնել	ɑ z ɑ b ɑ t ͡ s ʰ ˈ n e l
ազազանալ	ɑ z ɑ z ɑ ˈ n ɑ l
ազազել	ɑ z ɑ ˈ z e l
ազապ	ɑ ˈ z ɑ p
ազատ	ɑ ˈ z ɑ t
Ազատ	ɑ ˈ z ɑ t
ազատ աշխարհ	ɑ ˈ z ɑ t   ɑ ʃ ˈ χ ɑ ɾ
ազատ առևտրի գոտի	ɑ ˈ z ɑ t   ɑ r e f t ə ˈ ɾ i   ɡ o ˈ t i
ազատ կամք	ɑ ˈ z ɑ t   k ɑ m k ʰ
ազատագնել	ɑ z ɑ t ɑ ɡ ə ˈ n e l
ազատագնվել	ɑ z ɑ t ɑ ɡ ə n ˈ v e l
ազատագրել	ɑ z ɑ t ɑ ɡ ˈ ɾ e l
ազատագրվել	ɑ z ɑ t ɑ ɡ ə ɾ ˈ v e l
ազատագրում	ɑ z ɑ t ɑ ɡ ˈ ɾ u m
ազատազրկել	ɑ z ɑ t ɑ z ə ɾ ˈ k e l
ազատականացնել	ɑ z ɑ t ɑ k ɑ n ɑ t ͡ s ʰ ˈ n e l
ազատամարտ	ɑ z ɑ t ɑ ˈ m ɑ ɾ t
ազատանի	ɑ z ɑ t ɑ ˈ n i
ազատել	ɑ z ɑ ˈ t e l
ազատություն	ɑ z ɑ t u ˈ t ʰ j u n
ազատքեղ	ɑ z ɑ t ˈ k ʰ e ʁ
ազբ	ɑ z b
ԱԶԲ	ɑ z ə ˈ b ə
ազբեստ	ɑ z ˈ b e s t
ազգ	ɑ z ɡ
ազգաբան	ɑ z ɡ ɑ ˈ b ɑ n
ազգագրական	ɑ z ɡ ɑ ɡ ( ə ) ɾ ɑ ˈ k ɑ n
ազգադավ	ɑ z ɡ ɑ ˈ d ɑ v
ազգական	ɑ z ɡ ɑ ˈ k ɑ n
ազգամիջյան	ɑ z ɡ ɑ m i ˈ t ͡ ʃ ʰ j ɑ n
ազգամոլ	ɑ z ɡ ɑ ˈ m o l
ազգային	ɑ z ɡ ɑ ˈ j i n
Ազգային ժողով	ɑ z ɡ ɑ ˈ j i n   ʒ o ˈ ʁ o v
ազգային փոքրամասնություն	ɑ z ɡ ɑ ˈ j i n   p ʰ o k ʰ ɾ ɑ m ɑ s n u ˈ t ʰ j u n
ազգային օրհներգ	ɑ z ɡ ɑ ˈ j i n   o ɾ h ˈ n e ɾ k ʰ
ազգայնականություն	ɑ z ɡ ɑ j n ɑ k ɑ n u ˈ t ʰ j u n
ազգայնամոլ	ɑ z ɡ ɑ j n ɑ ˈ m o l
ազգայնացում	ɑ z ɡ ɑ j n ɑ ˈ t ͡ s ʰ u m
ազգանուն	ɑ z ɡ ɑ ˈ n u n
ազգասեր	ɑ z ɡ ɑ ˈ s e ɾ
ազգեր	ɑ z ˈ ɡ e ɾ
ազգերի	ɑ z ɡ e ˈ ɾ i
Ազգերի լիգա	ɑ z ɡ e ˈ ɾ i   l i ˈ ɡ ɑ
ազգովին	ɑ z ɡ o ˈ v i n
ազգություն	ɑ z ɡ u ˈ t ʰ j u n
ազգուտակ	ɑ z ɡ u ˈ t ɑ k
ազդ	ɑ z d
ազդակ	ɑ z ˈ d ɑ k
ազդանշան	ɑ z d ɑ n ə ˈ ʃ ɑ n
ազդարար	ɑ z d ɑ ˈ ɾ ɑ ɾ
ազդարարել	ɑ z d ɑ ɾ ɑ ˈ ɾ e l
ազդել	ɑ z ˈ d e l
ազդեցիկ	ɑ z d e ˈ t ͡ s ʰ i k
ազդեցության ոլորտ	ɑ z d e t ͡ s ʰ u ˈ t ʰ j ɑ n   v o ˈ l o ɾ t
ազդեցություն	ɑ z d e t ͡ s ʰ u ˈ t ʰ j u n
ազդող	ɑ z ˈ d o ʁ
ազդվել	ɑ z d ˈ v e l
ազդր	ˈ ɑ z d ə ɾ
ազդրոսկր	ɑ z d ˈ ɾ o s k ə ɾ
ազդու	ɑ z ˈ d u
ազերի	ɑ z e ˈ ɾ i
ազիկ	ɑ ˈ z i k
ազնավոր	ɑ z n ɑ ˈ v o ɾ
ազնավուր	ɑ z n ɑ ˈ v u ɾ
ազնիվ	ɑ z ˈ n i v
Ազնիվ	ɑ z ˈ n i v
ազնիվ գազ	ɑ z ˈ n i v   ɡ ɑ z
ազնվական	ɑ z n ə v ɑ ˈ k ɑ n
ազնվամորի	ɑ z n ə v ɑ m o ˈ ɾ i
ազնվապետություն	ɑ z n ə v ɑ p e t u ˈ t ʰ j u n
ազոխ	ɑ ˈ z o χ
Ազովի ծով	ɑ z o ˈ v i   t ͡ s o v
ազոտ	ɑ ˈ z o t
Ազորներ	ɑ z o ɾ ˈ n e ɾ
աթաբեկ	ɑ t ʰ ɑ ˈ b e k
Աթաբեկ	ɑ t ʰ ɑ ˈ b e k
Աթանաս	ɑ t ʰ ɑ ˈ n ɑ s
աթեիզմ	ɑ t ʰ e ˈ j i z m
աթեիստ	ɑ t ʰ e ˈ i s t
Աթենաս	ɑ t ʰ e ˈ n ɑ s
Աթենք	ɑ ˈ t ʰ e n k ʰ
աթլաս	ɑ t ʰ ˈ l ɑ s
աթլետիկա	ɑ t ʰ ˈ l e t i k ɑ
աթոռ	ɑ ˈ t ʰ o r
աթոռակ	ɑ t ʰ o ˈ r ɑ k
ԱԹՍ	ɑ t ʰ ə ˈ s ə
ԱԺ	ɑ ˈ ʒ ə
աժան	ɑ ˈ ʒ ɑ n
աժդահա	ɑ ʒ d ɑ ˈ h ɑ
Աժդահակ	ɑ ʒ d ɑ ˈ h ɑ k
աժդահակ	ɑ ʒ d ɑ ˈ h ɑ k
Աիդա	ɑ ˈ i d ɑ
-ալ	ɑ l
ալ	ɑ l
Ալ Ղաիդա	ɑ l   ʁ ɑ j i ˈ d ɑ
Ալ Քաիդա	ɑ l   k ʰ ɑ j i ˈ d ɑ
Ալ-Քաիդա	ɑ l   k ʰ ɑ j i ˈ d ɑ
ալաբաստր	ɑ l ɑ ˈ b ɑ s t ə ɾ
ալաբաստրե	ɑ l ɑ b ɑ s t ˈ ɾ e
ալաբաստրյա	ɑ l ɑ b ɑ s t ˈ ɾ j ɑ
Ալադին	ɑ l ɑ ˈ d i n
Ալազան	ɑ l ɑ ˈ z ɑ n
ալաժահրի	ɑ l ɑ ʒ ɑ h ˈ ɾ i
ալամ	ɑ ˈ l ɑ m
ալան	ɑ ˈ l ɑ n
ալանի	ɑ l ɑ ˈ n i
Ալանք	ɑ ˈ l ɑ n k ʰ
Ալավերդի	ɑ l ɑ v e ɾ ˈ d i
ալարել	ɑ l ɑ ˈ ɾ e l
ալբաներեն	ɑ l b ɑ n e ˈ ɾ e n
Ալբանիա	ɑ l ˈ b ɑ n i ɑ
Ալբանիայի Հանրապետություն	ɑ l b ɑ n i ɑ ˈ j i   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
ալբատրոս	ɑ l b ɑ t ˈ ɾ o s
Ալբարյան	ɑ l b ɑ ˈ ɾ j ɑ n
Ալբերտ	ɑ l ˈ b e ɾ t
Ալբինա	ɑ l ˈ b i n ɑ
ալբոմ	ɑ l ˈ b o m
ալբուխարա	ɑ l b u χ ɑ ˈ ɾ ɑ
ալգորիթմ	ɑ l ɡ o ˈ ɾ i t ʰ m
ալեբաստր	ɑ l e ˈ b ɑ s t ə ɾ
ալեբաստրե	ɑ l e b ɑ s t ˈ ɾ e
ալեբաստրյա	ɑ l e b ɑ s t ˈ ɾ j ɑ
ալեզարդ	ɑ l e ˈ z ɑ ɾ t ʰ
ալեկոծ	ɑ l e ˈ k o t ͡ s
ալեկոծել	ɑ l e k o ˈ t ͡ s e l
ալեհավաք	ɑ l e h ɑ ˈ v ɑ k ʰ
ալեհերձ	ɑ l e ˈ h e ɾ d ͡ z
ալեմաներեն	ɑ l e m ɑ n e ˈ ɾ e n
Ալեն	ɑ ˈ l e n
Ալեության կղզիներ	ɑ l e u ˈ t ʰ j ɑ n   k ə ʁ z i ˈ n e ɾ
ալևոր	ɑ l e ˈ v o ɾ
ալերգիա	ɑ l e ɾ ɡ i ˈ ɑ
Ալեքսան	ɑ l e k ʰ ˈ s ɑ n
Ալեքսանդր	ɑ l e k ʰ ˈ s ɑ n d ə ɾ
Ալեքսանդր Մակեդոնացի	ɑ l e k ʰ ˈ s ɑ n d ə ɾ   m ɑ k e d o n ɑ ˈ t ͡ s ʰ i
Ալեքսանդրապոլ	ɑ l e k ʰ s ɑ n d ɾ ɑ ˈ p o l
Ալեքսանդրիա	ɑ l e k ʰ s ɑ n d ˈ ɾ i ˈ ɑ
Ալեքսանյան	ɑ l e k ʰ s ɑ ˈ n j ɑ n
Ալեքսիյ	ɑ l e k ʰ ˈ s i j
Ալթըբարմագյան	ɑ l t ʰ ə b ɑ ɾ m ɑ ˈ ɡ j ɑ n
Ալթըբարմաքյան	ɑ l t ʰ ə b ɑ ɾ m ɑ ˈ k ʰ j ɑ n
Ալթըփարմագյան	ɑ l t ʰ ə p ʰ ɑ ɾ m ɑ ˈ ɡ j ɑ n
Ալթըփարմաքյան	ɑ l t ʰ ə p ʰ ɑ ɾ m ɑ ˈ k ʰ j ɑ n
Ալթիպարմաղյան	ɑ l t ʰ i p ɑ ɾ m ɑ ˈ ʁ j ɑ n
Ալժիր	ɑ l ˈ ʒ i ɾ
Ալժիրի Ժողովրդական Ժողովրդավարական Հանրապետություն	ɑ l ʒ i ɾ i ʒ o ʁ o v ə ɾ t ʰ ɑ ˈ k ɑ n   ʒ o ʁ o v ə ɾ t ʰ ɑ v ɑ ɾ ɑ ˈ k ɑ n   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
ալի	ɑ ˈ l i
ալիբի	ɑ l i ˈ b i
ալիգատոր	ɑ l i ɡ ɑ ˈ t o ɾ
Ալիև	ɑ ˈ l i j e v
Ալինա	ɑ l i ˈ n ɑ
Ալիստեր	ˈ ɑ l i s t e ɾ
ալիք	ɑ ˈ l i k ʰ
Ալլա	ɑ l ˈ l ɑ
Ալլահ	ɑ l ˈ l ɑ h
Ալկայոս	ɑ l k ɑ ˈ j o s
ալկաշ	ɑ l ˈ k ɑ ʃ
Ալկիբիադես	ɑ l k i b i ɑ ˈ d e s
ալկիոն	ɑ l k i ˈ o n
Ալկման	ɑ l k ˈ m ɑ n
Ալկմենե	ɑ l k ˈ m e n e
ալկոգել	ɑ l k o ˈ ɡ e l
ալկոհոլ	ɑ l k o ˈ h o l
ալկոհոլային	ɑ l k o h o l ɑ ˈ j i n
ալկոհոլիզմ	ɑ l k o h o ˈ l i z m
ալկոհոլիկ	ɑ l k o h o ˈ l i k
Ալմա Աթա	ɑ l ˈ m ɑ   ɑ ˈ t ʰ ɑ
Ալմաթի	ɑ l m ɑ ˈ t ʰ i
ալմանախ	ɑ l m ɑ ˈ n ɑ χ
ալմաս	ɑ l ˈ m ɑ s
ալմաստ	ɑ l ˈ m ɑ s t
ալյանս	ɑ ˈ l j ɑ n s
Ալյասկա	ɑ ˈ l j ɑ s k ɑ
ալյումին	ɑ l j u ˈ m i n
ալյումինում	ɑ l j u m i ˈ n u m
ալյուր	ɑ ˈ l j u ɾ
ալոե	ɑ l o ˈ e
ալոճ	ɑ ˈ l o t ͡ ʃ
ալոճենի	ɑ l o t ͡ ʃ e ˈ n i
ալոջ	ɑ ˈ l o d ͡ ʒ
ալպագա	ɑ l p ɑ ˈ ɡ ɑ
ալպակ	ɑ l ˈ p ɑ k
ալպակա	ɑ l p ɑ ˈ k ɑ
Ալպեր	ɑ l ˈ p e ɾ
ալպինիզմ	ɑ l p i ˈ n i z m
ալպինիստ	ɑ l p i ˈ n i s t
Ալպյան լեռներ	ɑ l ˈ p j ɑ n   l e r ˈ n e ɾ
Ալջունիդ	ɑ l d ͡ ʒ u ˈ n i d
Ալվարդ	ɑ l ˈ v ɑ ɾ t ʰ
ալտ	ɑ l t
ալտերնատիվ	ɑ l t e ɾ n ɑ ˈ t i v
ալրաղաց	ɑ l ɾ ɑ ˈ ʁ ɑ t ͡ s ʰ
ալուճ	ɑ ˈ l u t ͡ ʃ
ալուր	ɑ ˈ l u ɾ
ալուցք	ɑ ˈ l u t ͡ s ʰ k ʰ
ալք	ɑ l k ʰ
ալքիմիա	ɑ l k ʰ i m i ˈ ɑ
ալքիմիկոս	ɑ l k ʰ i m i ˈ k o s
ախ	ɑ χ
ախազ	ɑ ˈ χ ɑ z
Ախալցխա	ɑ χ ɑ l t ͡ s ʰ ə ˈ χ ɑ
Ախալքալաք	ɑ χ ɑ l k ʰ ɑ ˈ l ɑ k ʰ
Ախալքալաքի	ɑ χ ɑ l k ʰ ɑ l ɑ ˈ k ʰ i
ախմախ	ɑ χ ˈ m ɑ χ
ախոյան	ɑ χ o ˈ j ɑ n
ախոռ	ɑ ˈ χ o r
ախոռներ	ɑ χ o r ˈ n e ɾ
ախորժ	ɑ ˈ χ o ɾ ʒ
ախորժակ	ɑ χ o ɾ ˈ ʒ ɑ k
ախպար	ɑ χ ˈ p ɑ ɾ
ախպեր	ɑ χ ˈ p e ɾ
ախռանիկ	ɑ χ ˈ r ɑ n i k
ախռաննիկ	ɑ χ ˈ r ɑ n n i k
ախտ	ɑ χ t
ախտաբան	ɑ χ t ɑ ˈ b ɑ n
ախտաբանական	ɑ χ t ɑ b ɑ n ɑ ˈ k ɑ n
ախտաբանություն	ɑ χ t ɑ b ɑ n u ˈ t ʰ j u n
ախտանիշ	ɑ χ t ɑ ˈ n i ʃ
ախտանշան	ɑ χ t ɑ n ə ˈ ʃ ɑ n
ախտարար	ɑ χ t ɑ ˈ ɾ ɑ ɾ
ախտորոշել	ɑ χ t o ɾ o ˈ ʃ e l
ախտորոշում	ɑ χ t o ɾ o ˈ ʃ u m
ախր	ˈ ɑ χ ə ɾ
ախրանիկ	ɑ χ ˈ ɾ ɑ n i k
ախրաննիկ	ɑ χ ˈ ɾ ɑ n n i k
Ախուրյան	ɑ χ u ˈ ɾ j ɑ n
-ած	ɑ t ͡ s
ած	ɑ t ͡ s
ածական	ɑ t ͡ s ɑ ˈ k ɑ n
ածականային	ɑ t ͡ s ɑ k ɑ n ɑ ˈ j i n
ածանց	ɑ ˈ t ͡ s ɑ n t ͡ s ʰ
ածանցել	ɑ t ͡ s ɑ n ˈ t ͡ s ʰ e l
ածանցյալ	ɑ t ͡ s ɑ n ˈ t ͡ s ʰ j ɑ l
ածել	ɑ ˈ t ͡ s e l
ածելի	ɑ t ͡ s e ˈ l i
ածեր	ɑ ˈ t ͡ s e ɾ
ածիլել	ɑ t ͡ s i ˈ l e l
ածիկ	ɑ ˈ t ͡ s i k
ածխաթթու	ɑ t ͡ s χ ɑ t ʰ ə ˈ t ʰ u
ածխաթթու գազ	ɑ t ͡ s χ ɑ t ʰ ə ˈ t ʰ u   ɡ ɑ z
ածխածին	ɑ t ͡ s χ ɑ ˈ t ͡ s i n
ածխաջուր	ɑ t ͡ s χ ɑ ˈ d ͡ ʒ u ɾ
-ածո	ɑ ˈ t ͡ s o
-ածու	ɑ ˈ t ͡ s u
ածու	ɑ ˈ t ͡ s u
ածուխ	ɑ ˈ t ͡ s u χ
ածք	ɑ t ͡ s k ʰ
-ակ	ɑ k
ակ	ɑ k
ակ-կոյունլու	ɑ k k o j u n ˈ l u
ակադեմիա	ɑ k ɑ ˈ d e m i ɑ
ակադեմիկոս	ɑ k ɑ d e m i ˈ k o s
ակահ	ɑ ˈ k ɑ h
-ական	ɑ ˈ k ɑ n
ական	ɑ ˈ k ɑ n
ական-ծուղակ	ɑ ˈ k ɑ n   t ͡ s u ˈ ʁ ɑ k
ականակիտ	ɑ k ɑ n ɑ ˈ k i t
ականանետ	ɑ k ɑ n ɑ ˈ n e t
ականավոր	ɑ k ɑ n ɑ ˈ v o ɾ
ականատես	ɑ k ɑ n ɑ ˈ t e s
ականի	ɑ k ɑ ˈ n i
ականջ	ɑ ˈ k ɑ n d ͡ ʒ
ականջ դնել	ɑ ˈ k ɑ n d ͡ ʒ   d ə ˈ n e l
ականջակալ	ɑ k ɑ n d ͡ ʒ ɑ ˈ k ɑ l
